제목,날짜
 중소벤처기업부 및 한국여성경제인협회와 ‘자상한 기업 업무협약’ 체결,2019.08.21
 유튜브 채널 ‘웃튜브’ 대고객 이벤트 실시,2019.08.20
 추석명절 대비 15조원 규모의 중소기업 지원책 발표,2019.08.18
 인터넷뱅킹을 통한 전화신규 서비스 실시,2019.08.16
 ‘리그오브레전드 챔피언스 코리아 서머’ 결승전 이벤트 실시,2019.08.14
 국민연금·공무원연금 등 연금수급 고객을 위한 감사 이벤트 실시,2019.08.13
 「우리 삼성 페이」 환전 100% 환율우대 이벤트 실시,2019.08.08
 소상공인 전용 비대면 통장 『우리사장님e편한통장』신상품 출시,2019.08.07
 8.15 광복절 74주년 기념 상품 출시 및 이벤트 실시,2019.08.06
 글로벌 수준의 고객확인제도 시행,2019.08.05
 日수출규제 피해 기업에 3조원 규모 금융지원,2019.08.04
 ‘환테크 전략 및 미국부동산 시장 분석’ 세미나 실시,2019.07.31
 차세대 AMP 수료식 실시,2019.07.25
 ‘내 돈 어디에 투자할까’ 금융 및 부동산 세미나 개최,2019.07.24
 특성화고 신입행원 특별채용 설명회 실시,2019.07.23
"룹, 친환경 문화 확산을 위한 캠페인 실시",2019.07.23
"장, “하반기는 대도약기, 최고의 성과 창출하라”",2019.07.22
 ‘청약통장 인터넷(스마트)뱅킹 가입 경품 이벤트’ 실시,2019.07.19
 건설공제조합과 건설사 해외공사 지원을 위한 신상품 출시,2019.07.17
 청년창업기업 지원을 위한 업무협약 체결,2019.07.16
 퇴직연금 수익률 관리 위해 퇴직연금 자산관리센터 신설,2019.07.12
 통신사 거래정보를 활용한 ‘우리 비상금 대출’ 출시,2019.07.11
 여름 휴가철 이동점포 ‘해변은행’ 운영,2019.07.10
"룹, ‘정보보호의 날’ 캠페인 실시",2019.07.09
"룹,‘사랑의 헌혈 캠페인’실시",2019.07.08
로봇기반 업무자동화(RPA) 도입,2019.07.04
 양파 구매 운동 동참,2019.07.04
"룹, 3조원 규모 우리혁신성장펀드 출범",2019.07.03
 독립유공자 후손 후원금 마련위한 업무협약 체결,2019.07.02
 디지털금융 경쟁력 강화를 위한 BIB 체제 시행,2019.07.02
인사명단(발령일자 : 2019.07.01),2019.07.02
"룹, 베트남에 인공지능 신용평가 도입, 개인 신용대출 본격화",2019.07.01
 오픈API 플랫폼 및 개발자 포털 공개,2019.06.28
"룹, 취약계층 폭염 피해 예방을 위한 봉사활동 실시",2019.06.25
 새로워진 “위비뱅크” 이용현황 공개,2019.06.24
 ‘핑크퐁과 아기상어 통장’ 및 ‘저축송’ 출시,2019.06.20
 실거래 분석 통한 중소형 빌딩 투자 세미나 개최,2019.06.20
 ‘2019년 하반기 환율/금리 전망 세미나’ 개최,2019.06.18
 은퇴전후 고객을 위한 ‘시니어플러스 우리 패키지' 출시,2019.06.14
공제』 이제 우리은행에서 가입 하세요,2019.06.11
 ‘시니어를 위한 안전한 스마트폰 활용법’ 교육 실시,2019.06.07
"룹, 2019년 국민연금공단 공동 글로벌 사회공헌 봉사활동 실시",2019.06.07
 아시안뱅커(Asian Banker) 선정 7년 연속 ‘한국 최우수 자금관리 은행’ 수상,2019.05.31
